Id,Title,Language,Year,Search Category,Display Type,Freely Available,Is Pay Per View,Subscription Tiers Permitted
62139fa072b5160bb585b399,Navel Of Love - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
620e455c511f8b0bcdc24533,Majboori,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
620e505ce677fc0bd6e7b7a1,Majboori - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
620e51ece8a5ef0bb47f3586,Majboori - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6205053a58458c0ba79fdb33,Impotent,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6205121a6a36fd0bca576586,Impotent - Bhojpuri,Bhojpuri,2022,movie,MEDIA,False,False,"['gold', 'silver']"
62051340123eab0b8668d96f,Impotent - English,English,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6205143c58458c0ba79ffa65,Impotent - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
620515a7123eab0b8668de40,Impotent - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621dc55445e2b60ba558eff5,Ferrous,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621de3b09333dc0b9a458612,Ferrous - English,English,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621deeb6169a910bc8f7988d,Ferrous - Kannada,Kannada,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621df6a925488c0b9a32ea95,Ferrous - Malayalam,Malayalam,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621e04e7169a910bc8f802d9,Ferrous - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621e0cf645e2b60ba55a4799,Ferrous - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
61fb7ac60b0d720baae584b4,Damaad Ji,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
61fb7c7a10e5970bb20380cc,Damaad Ji  - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
61fb7e02f0c9ee0bd2dd93f5,Damaad Ji  - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
61f80186c594080b93f0837c,Jaghanya (Upaay),Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
61f8045d5754f90baa0a2faa,Jaghanya (Upaay) - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
61f806daf0c9ee0bd2d0f81a,Jaghanya (Upaay) - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
61ee712713de510bca262828,Hotspot ( Mail Trail ),Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
61ee73b2620fd70bc6eb70b3,Hotspot ( Mail Trail ) - English,English,2022,movie,MEDIA,False,False,"['gold', 'silver']"
61ee7719bdf83f0bcfdc6cb0,Hotspot ( Mail Trail ) - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
61ee7b39bb5bf80bc4a0ac2e,Hotspot ( Mail Trail ) - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6496e1945206220bcfd174b9,Gaachi,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621f547e04eb670bac22ff04,Exit,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621f5cd2d1b4fa0be912e746,Exit - English,English,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621f7a584aed720ba43911c3,Exit - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621f812cd1b4fa0be9134f51,Exit - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
